bloco	parcela	n	p	k	ms_folha	ms_lenho	ms_casca	ms_galho	altura	dap	volume	p_resina	mo_solo	p_h_solo	k_solo	ca_solo	mg_solo	h_al_solo	al_solo	sb	ctc	v	ca_ctc	mg_ctc	m	compartimento	n_2	p_2	k_2	ca	mg	s	b	cu	fe	mn	zn	Dose_N	Dose_P	Dose_K
C	1	1	1	1	1589.10777507163	12182.5910456554	730.484182621502	1317.78599740933	6.95	0.066845076098596	32.5200207531335	38	14	4.3	2.5	5	1	22	2	8.5	30.5	28	16	3	19	FOLHA	28031.8611522636	2206.44611578232	13904.6930318768	10051.1066773281	5164.60026898281	2037.24081104173	63113.1403539843	7945.53887535817	262202.782886819	1573216.69732092	20658.4010759312	140	70	180
C	1	1	1	1	1589.10777507163	12182.5910456554	730.484182621502	1317.78599740933	6.95	0.066845076098596	32.5200207531335	38	14	4.3	2.5	5	1	22	2	8.5	30.5	28	16	3	19	LENHO	24730.6598226804	0	35329.5140324006	12487.1558217968	6091.29552282769	2350.54351459387	79376.4725556718	36547.7731369661	1729927.92848306	1669014.97325479	255834.411958763	140	70	180
C	1	1	1	1	1589.10777507163	12182.5910456554	730.484182621502	1317.78599740933	6.95	0.066845076098596	32.5200207531335	38	14	4.3	2.5	5	1	22	2	8.5	30.5	28	16	3	19	GALHO	8486.54182331606	1282.76648665697	11958.9079264896	6358.3174375	494.169749028497	477.931373917175	16233.9332769762	5271.14398963731	40851.3659196891	996246.214041451	10542.2879792746	140	70	180
C	1	1	1	1	1589.10777507163	12182.5910456554	730.484182621502	1317.78599740933	6.95	0.066845076098596	32.5200207531335	38	14	4.3	2.5	5	1	22	2	8.5	30.5	28	16	3	19	CASCA	3068.03356701031	452.296583328441	4875.98191899853	11432.0774580265	1150.51258762887	222.946337864961	13504.178624673	2921.93673048601	14609.68365243	1080386.1060972	8035.32600883653	140	70	180
C	1	1	0	1	1944.97505722892	12019.9770953912	1319.03921757771	1914.73205526316	7.7	0.0649352167814933	33.9999657880243	3	14	4	2.8	3	1	22	3	6.8	28.8	24	10	3	31	FOLHA	38938.4006457229	2549.63360511466	17699.2730207831	13663.4497770331	4862.43764307229	2302.04222579851	81482.8962772929	17504.7755150602	342315.610072289	2265895.94167169	23339.700686747	140	70	180
C	1	1	0	1	1944.97505722892	12019.9770953912	1319.03921757771	1914.73205526316	7.7	0.0649352167814933	33.9999657880243	3	14	4	2.8	3	1	22	3	6.8	28.8	24	10	3	31	LENHO	24400.5535036442	727.685268646303	42670.9186886388	18931.4639252412	6610.98740246517	2988.58257610838	90697.9800638592	60099.885476956	1694816.77045016	2139555.92297964	300499.42738478	140	70	180
C	1	1	0	1	1944.97505722892	12019.9770953912	1319.03921757771	1914.73205526316	7.7	0.0649352167814933	33.9999657880243	3	14	4	2.8	3	1	22	3	6.8	28.8	24	10	3	31	GALHO	17960.1866783684	1933.89981813318	16706.0371821711	11488.3923315789	2489.1516718421	919.952554695325	24631.2502766836	9573.66027631579	61271.425768421	1650499.03163684	21062.0526078947	140	70	180
C	1	1	0	1	1944.97505722892	12019.9770953912	1319.03921757771	1914.73205526316	7.7	0.0649352167814933	33.9999657880243	3	14	4	2.8	3	1	22	3	6.8	28.8	24	10	3	31	CASCA	5447.63196859593	862.237523299355	9299.22648392284	23445.9220924437	2308.31863076099	427.711027347657	25920.0989660015	5276.15687031083	48804.4510503752	1919202.06157556	15828.4706109325	140	70	180
C	2	1	1	1	1273.94317528736	8316.03807101727	769.543821497121	1391.08179360465	6	0.0579323992854499	21.0873228097058	6	14	3.6	0.7	1	1	25	5	2.7	27.7	10	4	4	65	FOLHA	24969.2862356322	2073.20330084705	13089.7661260776	7579.96189295977	4012.92100215517	1633.19887320198	47881.5287019185	6369.71587643678	214022.453448276	1121069.99425287	19109.1476293103	0	70	180
C	2	1	1	1	1273.94317528736	8316.03807101727	769.543821497121	1391.08179360465	6	0.0579323992854499	21.0873228097058	6	14	3.6	0.7	1	1	25	5	2.7	27.7	10	4	4	65	LENHO	12224.5759643954	503.450077296852	29106.1332485605	3950.1180837332	4158.01903550864	1758.10180724171	54183.6925529428	16632.0761420345	632018.893397313	848235.883243762	224533.027917466	0	70	180
